accountNumber,balance,product,customerName,amount,transactionDate
GH0012345,15000.00,Medbegna Saving,Abebe Kebede,5000.00,2026-07-03
GH0016789,2500.00,Digital Saving,Almaz Hailu,1000.00,2026-07-03
GH0023456,87500.00,Felagot Saving,Berhanu Eshetu,12000.00,2026-07-03
GH0034567,3200.00,Share Account,Chaltu Ayana,500.00,2026-07-03
GH0045678,18500.00,Super Saving,Dawit Wondimu,3000.00,2026-07-03
GH0056789,4200.00,Member Registration,Eleni Gebre,0.00,2026-07-03
GH0067890,9800.00,Medbegna Saving,Fikirte Desta,1500.00,2026-07-03
GH0078901,6500.00,Digital Saving,Genet Gebre,2000.00,2026-07-03
GH0089012,12300.00,Felagot Saving,Hailu Tadesse,4500.00,2026-07-03
GH0090123,7800.00,Super Saving,Iman Mekonnen,800.00,2026-07-03
