accountNumber,balance,product,customerName,amount,transactionDate
CSV-1000001,25000.00,LOAN SAVING RESERVE ACCOUNT,Abebe Kebede,5000.00,2026-07-21
CSV-1000002,15000.00,LOAN SAVING RESERVE ACCOUNT,Almaz Hailu,3000.00,2026-07-21
CSV-1000003,87500.00,GIHON REGULAR SAVING,Berhanu Eshetu,12000.00,2026-07-21
CSV-1000004,3200.00,Michu Current Account,Chaltu Ayana,500.00,2026-07-21
CSV-1000005,18500.00,LOAN SAVING RESERVE ACCOUNT,Dawit Wondimu,3000.00,2026-07-21
CSV-1000006,4200.00,GIHON REGULAR SAVING,Eleni Gebre,800.00,2026-07-21
CSV-1000007,9800.00,MOTHERS SAVING ACCOUNT,Fikirte Desta,1500.00,2026-07-21
CSV-1000008,6500.00,YOUNG WOMEN SAVING,Genet Gebre,2000.00,2026-07-21
CSV-1000009,12300.00,FIXED TIME DEPOSIT,Hailu Tadesse,4500.00,2026-07-21
CSV-1000010,7800.00,SPECIAL SAVING ACCOUNT,Iman Mekonnen,800.00,2026-07-21
CSV-1000011,50000.00,LOAN SAVING RESERVE ACCOUNT,John Doe,10000.00,2026-07-20
CSV-1000012,1000.00,WADIAH SAVING ACCOUNT,Kebede Lemma,200.00,2026-07-19
