account_id,june_balance,accountNumber,branch_code
CSV-2000001,24000.00,CSV-2000001,WOLAYTA_SODO
CSV-2000002,14500.00,CSV-2000002,WOLAYTA_SODO
CSV-2000003,86000.00,CSV-2000003,WOLAYTA_SODO
CSV-2000004,3100.00,CSV-2000004,WOLAYTA_SODO
CSV-2000005,18000.00,CSV-2000005,WOLAYTA_SODO
CSV-2000006,4000.00,CSV-2000006,WOLAYTA_SODO
CSV-2000007,9500.00,CSV-2000007,WOLAYTA_SODO
CSV-2000008,6300.00,CSV-2000008,WOLAYTA_SODO
CSV-2000009,12000.00,CSV-2000009,WOLAYTA_SODO
CSV-2000010,7600.00,CSV-2000010,WOLAYTA_SODO
